"","file","select_ref_id","num_cell","numlayer_output","K_kmeans_silhouette","K_GMM_BIC","K_Gap","K_dbscan"
"482","093_part_1_patch_1",1,788,14,5,6,5,15
"483","093_part_1_patch_2",1,646,13,5,12,9,11
"484","093_part_2_patch_1",1,648,14,5,5,5,21
"485","093_part_2_patch_2",1,604,14,5,5,32,26
"486","093_part_3_patch_1",1,566,8,34,6,26,5
"487","093_part_3_patch_2",1,665,13,5,7,6,8
"488","093_part_4_patch_1",2,743,15,24,5,5,15
"489","093_part_4_patch_2",2,683,13,29,5,10,11
"490","093_part_4_patch_3",2,795,13,35,6,5,15
"491","093_part_4_patch_4",2,596,13,33,5,5,17
"492","095_part_1_patch_1",2,582,17,17,5,17,30
"493","095_part_1_patch_2",1,691,16,32,5,6,34
"494","095_part_1_patch_3",1,836,18,31,6,5,45
"495","095_part_1_patch_4",1,2383,27,6,6,6,39
"496","096_part_1_patch_1",1,448,9,27,5,5,12
"497","096_part_1_patch_2",1,421,9,28,6,6,6
"498","096_part_1_patch_3",1,708,10,30,6,5,9
"499","096_part_2_patch_1",1,668,11,5,8,5,12
"500","097_part_1_patch_1",2,373,11,35,7,20,8
"501","097_part_1_patch_2",2,411,13,26,5,34,17
"502","097_part_1_patch_3",2,517,13,35,5,35,21
"503","098_part_1_patch_1",2,360,11,5,13,13,9
"504","098_part_2_patch_1",1,177,5,31,6,16,5
"505","098_part_2_patch_2",1,345,11,34,5,32,10
"506","098_part_3_patch_1",1,766,9,28,6,11,4
"507","098_part_3_patch_2",2,273,8,5,5,8,4
"508","098_part_3_patch_3",1,463,8,32,7,19,4
"509","100_part_1_patch_1",2,565,12,16,6,17,13
"510","100_part_1_patch_2",1,310,8,32,5,25,10
"511","100_part_1_patch_3",2,207,4,25,5,32,4
"512","102_part_1_patch_1",2,499,11,6,6,6,16
"513","102_part_1_patch_2",2,414,13,22,5,33,19
"514","102_part_1_patch_3",2,394,11,24,5,9,15
"515","102_part_1_patch_4",2,555,14,14,5,14,15
"516","103_part_1_patch_1",1,1190,15,5,13,34,9
"517","103_part_1_patch_2",1,676,13,5,7,9,17
"518","103_part_1_patch_3",1,705,13,5,9,19,15
"519","103_part_2_patch_1",1,669,17,5,7,24,34
"520","103_part_2_patch_2",1,1249,12,5,9,5,16
"521","103_part_2_patch_3",1,1949,19,6,8,13,20
"522","103_part_3_patch_1",1,930,14,5,14,18,13
"523","103_part_3_patch_2",2,1151,15,5,7,7,17
"524","103_part_3_patch_3",1,734,13,31,9,32,11
"525","103_part_4_patch_1",2,1078,13,6,11,27,13
"526","103_part_4_patch_2",2,772,17,6,9,7,20
"527","103_part_4_patch_3",2,940,15,5,13,8,14
"528","103_part_4_patch_4",2,738,13,5,11,8,15
"529","104_part_1_patch_1",2,322,9,32,5,35,12
"530","104_part_1_patch_2",2,374,9,24,7,27,8
"531","104_part_1_patch_3",1,512,9,6,9,18,10
"532","105_part_1_patch_1",1,475,10,31,5,5,10
"533","105_part_1_patch_2",2,632,10,5,5,5,13
"534","105_part_1_patch_3",1,454,8,22,5,6,7
"535","105_part_2_patch_1",1,1128,16,5,5,6,16
"536","105_part_2_patch_2",2,1465,17,5,6,6,9
"537","105_part_2_patch_3",1,1029,17,22,5,5,20
"538","105_part_2_patch_4",2,1014,20,5,7,6,32
"539","106_part_1_patch_1",2,615,11,5,6,11,12
"540","106_part_1_patch_2",2,445,8,28,7,24,7
"541","106_part_1_patch_3",1,702,14,5,5,5,18
"542","106_part_2_patch_1",2,565,17,29,5,5,24
"543","106_part_2_patch_2",1,509,12,34,5,8,8
"544","106_part_2_patch_3",1,648,13,5,7,7,27
"545","106_part_3_patch_1",2,654,14,5,5,5,21
"546","106_part_4_patch_1",2,863,13,30,5,18,6
"547","106_part_4_patch_2",1,479,12,5,6,33,11
"548","106_part_5_patch_1",1,616,10,5,9,22,3
"549","106_part_5_patch_2",2,1011,13,6,7,9,11
"550","106_part_6_patch_1",2,625,16,28,5,5,19
"551","106_part_7_patch_1",1,588,12,5,5,32,19
"552","107_part_1_patch_1",2,905,23,5,5,5,24
"553","107_part_1_patch_2",2,586,17,32,5,34,19
"554","108_part_2_patch_1",1,476,14,5,7,10,10
"555","108_part_3_patch_1",1,1034,12,5,10,7,12
"556","110_part_1_patch_1",1,749,10,5,7,5,10
"557","110_part_1_patch_2",2,445,12,5,6,12,15
"558","110_part_2_patch_1",1,767,12,5,8,15,6
"559","111_part_1_patch_1",1,462,10,5,6,8,9
"560","111_part_1_patch_2",1,283,7,33,6,29,6
"561","111_part_1_patch_3",1,513,10,5,10,20,15
"562","111_part_3_patch_1",1,384,10,10,6,9,9
"563","111_part_3_patch_2",2,472,12,5,6,16,14
"564","111_part_3_patch_3",2,702,9,5,10,16,9
"565","111_part_4_patch_1",2,502,12,30,6,23,18
"566","111_part_4_patch_2",2,474,12,28,5,30,16
"567","111_part_5_patch_1",2,756,13,33,5,5,9
"568","114_part_1_patch_1",2,560,13,5,7,30,15
"569","114_part_1_patch_2",1,510,10,5,11,5,9
"570","114_part_2_patch_1",2,422,16,5,5,5,21
"571","114_part_2_patch_2",2,493,14,5,5,5,24
"572","114_part_2_patch_3",2,509,16,5,5,5,29
"573","115_part_2_patch_1",1,591,9,5,7,33,7
"574","116_part_1_patch_1",1,559,8,34,6,35,6
"575","116_part_1_patch_2",1,622,11,6,5,29,7
"576","116_part_1_patch_3",1,643,9,6,9,21,6
"577","116_part_1_patch_4",1,817,11,13,5,6,3
"578","117_part_1_patch_1",2,867,19,5,8,6,43
"579","117_part_1_patch_2",2,1445,21,5,10,6,37
"580","118_part_1_patch_1",2,776,17,5,5,5,13
"581","118_part_1_patch_2",2,665,20,5,6,6,32
"582","118_part_1_patch_3",2,930,18,5,5,5,37
"583","118_part_1_patch_4",1,815,17,5,7,5,27
"584","118_part_1_patch_5",2,565,13,32,5,5,18
"585","118_part_2_patch_1",1,1550,19,34,7,5,9
"586","118_part_2_patch_2",1,1075,15,32,5,5,9
"587","118_part_2_patch_3",2,2932,31,6,5,5,50
"588","118_part_2_patch_4",1,2736,19,5,9,5,5
