"id","boundary_id","x","y"
121693,2,2322,763
182908,1,424,115
131202,1,628,712
2924,2,2493,1975
168240,1,545,185
143879,1,38,517
25013,2,2465,1843
183986,1,1198,110
34455,1,1106,1720
82768,1,851,1222
113516,2,2347,817
110409,1,189,836
101385,1,824,948
127590,2,2323,728
105005,2,2385,877
24323,1,818,1848
173,1,1376,1995
4378,1,821,1970
55183,2,2413,1380
25662,1,921,1837
143449,1,31,525
159403,2,2278,213
103639,2,2370,903
195280,1,1320,60
114432,1,784,811
69727,1,1540,1302
170949,1,515,173
23930,2,2484,1852
194990,1,1291,63
191083,1,162,81
147555,2,2260,442
30692,1,1013,1774
171514,2,2270,171
91244,1,898,1142
52283,2,2416,1422
22753,1,852,1861
40436,2,2435,1621
162727,1,878,202
193871,1,364,72
61976,1,996,1346
55447,2,2424,1376
161513,1,719,205
184875,1,136,105
199026,1,1370,16
128191,1,135,724
169368,1,969,181
121282,1,344,765
116570,1,87,796
149403,1,20,403
182931,1,1138,115
82063,1,1418,1227
130107,1,577,716
116851,2,2339,795
34343,2,2457,1722
100610,1,807,963
150570,2,2265,381
196886,1,1324,40
11297,1,746,1957
117457,2,2335,791
199476,1,1385,11
9981,1,1154,1960
30102,2,2461,1783
183367,1,1182,113
89925,1,887,1167
113389,1,88,817
19297,1,716,1901
164745,1,562,196
16654,1,1055,1944
23186,1,778,1857
34435,1,1086,1720
115097,1,97,806
48418,1,1337,1486
176023,2,2274,148
149316,1,39,405
161020,1,53,206
7361,1,880,1964
42103,1,1237,1593
25964,1,934,1834
169363,1,964,181
188199,1,186,90
137542,2,2289,638
76428,1,1303,1264
155180,1,61,285
167209,1,650,189
126128,1,651,736
84934,1,1405,1209
163396,1,797,200
92299,1,891,1119
156369,1,52,259
86277,1,1506,1203
187807,1,1231,92
169656,1,529,179
22505,2,2481,1863
102392,1,808,927
45481,2,2441,1536
192619,1,220,76
86294,1,1523,1203
64236,1,1518,1336
66147,2,2417,1325
142399,2,2273,546
146025,1,31,474
67858,2,2405,1314
175240,2,2274,152
92656,2,2399,1112
100540,2,2398,965
88247,1,1512,1192
119496,1,334,777
27868,1,949,1813
14249,1,1074,1951
194496,1,329,68
156941,2,2263,248
184352,1,1155,108
8162,1,1091,1963
175597,1,1055,150
119209,1,336,779
65271,2,2407,1330
118138,1,313,786
139389,2,2285,606
170109,1,549,177
68271,1,1148,1311
35659,1,1099,1700
24181,1,799,1849
62801,1,1488,1343
19226,1,703,1902
77890,1,1563,1255
126551,1,119,733
157895,2,2265,228
134466,1,118,694
198556,2,2250,22
168946,1,69,182
183454,1,134,112
81240,1,851,1232
173738,1,506,159
190650,1,330,83
114803,1,104,808
120285,1,753,772
118952,1,743,781
105392,1,107,871
140624,2,2285,582
154786,1,61,293
112974,1,256,820
97214,1,856,1017
192374,1,268,77
117007,2,2344,794
17537,1,730,1933
68546,1,1114,1309
83598,1,1442,1217
193339,1,1246,74
73001,1,1222,1283
68659,2,2410,1309
138589,2,2295,620
193618,1,1249,73
128654,1,583,722
67576,1,820,1315
177858,1,1046,139
130698,1,637,714
123562,1,392,751
9909,1,1082,1960
13896,1,1120,1952
189707,1,346,86
80905,2,2403,1235
118185,1,747,786
115715,1,282,802
5242,1,884,1968
188390,1,377,90
94995,2,2392,1061
159807,1,799,211
37839,2,2442,1665
92967,2,2388,1105
128527,1,663,723
102828,1,802,918
